rank,feature,importance_mean,importance_std
1,temperature_mean,1.0696902520678364,0.07157849485642764
2,discharge_duration,0.45950107761630854,0.03246441608899624
3,voltage_load_mean,0.0819592410818168,0.008349622930534489
4,voltage_std,0.06126141745863378,0.01218080392537722
5,cycle_index,0.05998570788184136,0.014086886691077181
6,voltage_load_std,0.05560751574097554,0.008704991852801552
7,current_load_mean,0.02613413797971285,0.005766728460004447
8,voltage_mean,0.025595740113975408,0.0020851562342215227
9,voltage_max,0.01904728625594191,0.0014220758795224606
10,temperature_max,0.017656195170713124,0.001917225588913746
11,current_mean,0.016804431029742238,0.0030573426350610114
12,current_load_min,0.004653566850992591,3.4065690757795174e-05
13,temperature_min,0.002123620951285721,0.0006601913048232685
14,current_load_std,0.0012504203496875588,0.0006683851021907128
15,current_std,0.0011211114393055999,0.0003549683088289854
16,current_max,0.00041581099005636444,0.0004310741187099982
17,voltage_load_max,0.0003573840935199024,0.0011188394579958445
18,ambient_temperature,2.6063147346822024e-05,0.0003159316599515498
19,voltage_load_min,0.0,0.0
20,current_load_max,-5.6379277070855995e-05,5.086134163886204e-05
21,voltage_min,-0.00047320288958074277,0.0010812258062242268
22,current_min,-0.0009912020884010387,0.0005598522395378748
23,temperature_std,-0.006822468319321534,0.001541387358687575
